College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638843988,1-44638843988,U-0724,ST. SOLDIER GROUP OF INSTITUTIONS,Active,Punjab,Jalandhar,Jalandhar,"BEHIND N.I.T(R.E.C.), AMRITSAR BY-PASS, G.T. ROAD, JALANDHAR",140183,31.322009,75.589534,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,Not Accredited,No,,Tier 3,http://www.stsoldier.ac.in,info@stsoldier.ac.in,admissions@stsoldier.ac.in,placement@stsoldier.ac.in,+91-80-671-4837,Mechanical Engineering,M.Tech,18,306,1985,Urban,Yes,Yes
1-44638843988,1-44638843988,U-0724,ST. SOLDIER GROUP OF INSTITUTIONS,Active,Punjab,Jalandhar,Jalandhar,"BEHIND N.I.T(R.E.C.), AMRITSAR BY-PASS, G.T. ROAD, JALANDHAR",140183,31.322009,75.589534,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,Not Accredited,No,,Tier 3,http://www.stsoldier.ac.in,info@stsoldier.ac.in,admissions@stsoldier.ac.in,placement@stsoldier.ac.in,+91-80-671-4837,Computer Science Engineering (CSE),M.Tech,18,306,1985,Urban,Yes,Yes
1-44638843988,1-44638843988,U-0724,ST. SOLDIER GROUP OF INSTITUTIONS,Active,Punjab,Jalandhar,Jalandhar,"BEHIND N.I.T(R.E.C.), AMRITSAR BY-PASS, G.T. ROAD, JALANDHAR",140183,31.322009,75.589534,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,Not Accredited,No,,Tier 3,http://www.stsoldier.ac.in,info@stsoldier.ac.in,admissions@stsoldier.ac.in,placement@stsoldier.ac.in,+91-80-671-4837,Civil Engineering,B.Tech,60,306,1985,Urban,Yes,Yes
1-44638843988,1-44638843988,U-0724,ST. SOLDIER GROUP OF INSTITUTIONS,Active,Punjab,Jalandhar,Jalandhar,"BEHIND N.I.T(R.E.C.), AMRITSAR BY-PASS, G.T. ROAD, JALANDHAR",140183,31.322009,75.589534,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,Not Accredited,No,,Tier 3,http://www.stsoldier.ac.in,info@stsoldier.ac.in,admissions@stsoldier.ac.in,placement@stsoldier.ac.in,+91-80-671-4837,Mechanical Engineering,B.Tech,60,306,1985,Urban,Yes,Yes
1-44638843988,1-44638843988,U-0724,ST. SOLDIER GROUP OF INSTITUTIONS,Active,Punjab,Jalandhar,Jalandhar,"BEHIND N.I.T(R.E.C.), AMRITSAR BY-PASS, G.T. ROAD, JALANDHAR",140183,31.322009,75.589534,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,Not Accredited,No,,Tier 3,http://www.stsoldier.ac.in,info@stsoldier.ac.in,admissions@stsoldier.ac.in,placement@stsoldier.ac.in,+91-80-671-4837,Electronics & Communication Engineering (ECE),B.Tech,30,306,1985,Urban,Yes,Yes
1-44638843988,1-44638843988,U-0724,ST. SOLDIER GROUP OF INSTITUTIONS,Active,Punjab,Jalandhar,Jalandhar,"BEHIND N.I.T(R.E.C.), AMRITSAR BY-PASS, G.T. ROAD, JALANDHAR",140183,31.322009,75.589534,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,Not Accredited,No,,Tier 3,http://www.stsoldier.ac.in,info@stsoldier.ac.in,admissions@stsoldier.ac.in,placement@stsoldier.ac.in,+91-80-671-4837,Computer Science Engineering (CSE),B.Tech,60,306,1985,Urban,Yes,Yes
1-44638843988,1-44638843988,U-0724,ST. SOLDIER GROUP OF INSTITUTIONS,Active,Punjab,Jalandhar,Jalandhar,"BEHIND N.I.T(R.E.C.), AMRITSAR BY-PASS, G.T. ROAD, JALANDHAR",140183,31.322009,75.589534,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,Not Accredited,No,,Tier 3,http://www.stsoldier.ac.in,info@stsoldier.ac.in,admissions@stsoldier.ac.in,placement@stsoldier.ac.in,+91-80-671-4837,Electrical Engineering,B.Tech,60,306,1985,Urban,Yes,Yes
1-44639656481,1-44639656481,U-0150,GOVT. INST. OF LEATHER & FOOTWEAR TECH.,Active,Punjab,Jalandhar,Jalandhar,NAKDAR ROAD,140183,31.337352,75.589309,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtinstleather.ac.in,info@govtinstleather.ac.in,admissions@govtinstleather.ac.in,placement@govtinstleather.ac.in,+91-80-314-9907,Other Engineering Branches,Diploma,40,40,2008,Urban,Yes,Yes
1-44639863602,1-44639863602,U-0724,APEEJAY INSTITUTE OF MANAGEMENT AND ENGINEERING TECHNICAL CAMPUS,Active,Punjab,Jalandhar,Jalandhar,APEEJAY INSTITUTE OF MANAGEMENT RAMA MANDI-HOSHIARPUR ROAD JALANDHAR-144007,144007,31.309788,75.558355,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,B+,No,,Tier 3,http://www.apeejaymanagementtechnical.ac.in,info@apeejaymanagementtechnical.ac.in,admissions@apeejaymanagementtechnical.ac.in,placement@apeejaymanagementtechnical.ac.in,+91-80-158-8749,Computer Science Engineering (CSE),B.Tech,60,120,1980,Rural,Yes,Yes
1-44639863602,1-44639863602,U-0724,APEEJAY INSTITUTE OF MANAGEMENT AND ENGINEERING TECHNICAL CAMPUS,Active,Punjab,Jalandhar,Jalandhar,APEEJAY INSTITUTE OF MANAGEMENT RAMA MANDI-HOSHIARPUR ROAD JALANDHAR-144007,144007,31.309788,75.558355,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,B+,No,,Tier 3,http://www.apeejaymanagementtechnical.ac.in,info@apeejaymanagementtechnical.ac.in,admissions@apeejaymanagementtechnical.ac.in,placement@apeejaymanagementtechnical.ac.in,+91-80-158-8749,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,30,120,1980,Rural,Yes,Yes
