College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638814372,1-44638814372,U-0961,GAYATHRI INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Telangana,Mahabubnagar,Mahabubnagar,RAJAPETA(VILLAGE),500906,16.74787,77.992862,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,B+,No,,Tier 3,http://www.gayathrisciences.ac.in,info@gayathrisciences.ac.in,admissions@gayathrisciences.ac.in,placement@gayathrisciences.ac.in,+91-80-307-3561,Computer Science Engineering (CSE),B.Tech,30,360,1989,Rural,No,Yes
1-44638814372,1-44638814372,U-0961,GAYATHRI INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Telangana,Mahabubnagar,Mahabubnagar,RAJAPETA(VILLAGE),500906,16.74787,77.992862,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,B+,No,,Tier 3,http://www.gayathrisciences.ac.in,info@gayathrisciences.ac.in,admissions@gayathrisciences.ac.in,placement@gayathrisciences.ac.in,+91-80-307-3561,Electrical & Electronics Engineering (EEE),B.Tech,30,360,1989,Rural,No,Yes
1-44638814372,1-44638814372,U-0961,GAYATHRI INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Telangana,Mahabubnagar,Mahabubnagar,RAJAPETA(VILLAGE),500906,16.74787,77.992862,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,B+,No,,Tier 3,http://www.gayathrisciences.ac.in,info@gayathrisciences.ac.in,admissions@gayathrisciences.ac.in,placement@gayathrisciences.ac.in,+91-80-307-3561,Electronics & Communication Engineering (ECE),B.Tech,30,360,1989,Rural,No,Yes
1-44638814372,1-44638814372,U-0961,GAYATHRI INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Telangana,Mahabubnagar,Mahabubnagar,RAJAPETA(VILLAGE),500906,16.74787,77.992862,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,B+,No,,Tier 3,http://www.gayathrisciences.ac.in,info@gayathrisciences.ac.in,admissions@gayathrisciences.ac.in,placement@gayathrisciences.ac.in,+91-80-307-3561,Civil Engineering,Diploma,60,360,1989,Rural,No,Yes
1-44638814372,1-44638814372,U-0961,GAYATHRI INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Telangana,Mahabubnagar,Mahabubnagar,RAJAPETA(VILLAGE),500906,16.74787,77.992862,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,B+,No,,Tier 3,http://www.gayathrisciences.ac.in,info@gayathrisciences.ac.in,admissions@gayathrisciences.ac.in,placement@gayathrisciences.ac.in,+91-80-307-3561,Electronics & Communication Engineering (ECE),Diploma,60,360,1989,Rural,No,Yes
1-44638814372,1-44638814372,U-0961,GAYATHRI INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Telangana,Mahabubnagar,Mahabubnagar,RAJAPETA(VILLAGE),500906,16.74787,77.992862,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,B+,No,,Tier 3,http://www.gayathrisciences.ac.in,info@gayathrisciences.ac.in,admissions@gayathrisciences.ac.in,placement@gayathrisciences.ac.in,+91-80-307-3561,Civil Engineering,B.Tech,30,360,1989,Rural,No,Yes
1-44638814372,1-44638814372,U-0961,GAYATHRI INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Telangana,Mahabubnagar,Mahabubnagar,RAJAPETA(VILLAGE),500906,16.74787,77.992862,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,B+,No,,Tier 3,http://www.gayathrisciences.ac.in,info@gayathrisciences.ac.in,admissions@gayathrisciences.ac.in,placement@gayathrisciences.ac.in,+91-80-307-3561,Electrical & Electronics Engineering (EEE),Diploma,60,360,1989,Rural,No,Yes
1-44638814372,1-44638814372,U-0961,GAYATHRI INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Telangana,Mahabubnagar,Mahabubnagar,RAJAPETA(VILLAGE),500906,16.74787,77.992862,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,B+,No,,Tier 3,http://www.gayathrisciences.ac.in,info@gayathrisciences.ac.in,admissions@gayathrisciences.ac.in,placement@gayathrisciences.ac.in,+91-80-307-3561,Computer Science Engineering (CSE),Diploma,60,360,1989,Rural,No,Yes
1-44638875628,1-44638875628,U-0992,"SVKM'S NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES, SCHOOL OF BUSINESS MANAGEMENT, HYDERABAD (NMIMS)",Active,Telangana,Mahabubnagar,Mahabubnagar,"PLOT NO B4, GREEN INDUSTRIAL PARK, POLIPALLY SEZ, TSIIC, JADCHERLA, MEHABOOBNAGAR DISTRICT, TELANGANA. PIN - 509301",509301,16.731568,77.996076,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.svkmsnarseemonjee.ac.in,info@svkmsnarseemonjee.ac.in,admissions@svkmsnarseemonjee.ac.in,placement@svkmsnarseemonjee.ac.in,+91-80-623-6077,Computer Science Engineering (CSE),B.Tech,180,300,1997,Rural,No,Yes
1-44638875628,1-44638875628,U-0992,"SVKM'S NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES, SCHOOL OF BUSINESS MANAGEMENT, HYDERABAD (NMIMS)",Active,Telangana,Mahabubnagar,Mahabubnagar,"PLOT NO B4, GREEN INDUSTRIAL PARK, POLIPALLY SEZ, TSIIC, JADCHERLA, MEHABOOBNAGAR DISTRICT, TELANGANA. PIN - 509301",509301,16.731568,77.996076,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.svkmsnarseemonjee.ac.in,info@svkmsnarseemonjee.ac.in,admissions@svkmsnarseemonjee.ac.in,placement@svkmsnarseemonjee.ac.in,+91-80-623-6077,Data Science,B.Tech,120,300,1997,Rural,No,Yes
1-44639581450,1-44639581450,U-0391,GOVERNMENT POLYTECHNIC VADDEPALLY,Active,Telangana,Mahabubnagar,Mahabubnagar,"SY NO: 377, NEAR MADHAVA SWAMY TEMPLE, VADDEPALLY (VILLAGE & MANDAL), JOGULAMBA GADWAL (DIST.), PIN-509126",509126,16.752309,78.003335,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.vaddepally.ac.in,info@vaddepally.ac.in,admissions@vaddepally.ac.in,placement@vaddepally.ac.in,+91-80-493-5516,Mechanical Engineering,Diploma,60,120,2014,Rural,No,Yes
1-44639581450,1-44639581450,U-0391,GOVERNMENT POLYTECHNIC VADDEPALLY,Active,Telangana,Mahabubnagar,Mahabubnagar,"SY NO: 377, NEAR MADHAVA SWAMY TEMPLE, VADDEPALLY (VILLAGE & MANDAL), JOGULAMBA GADWAL (DIST.), PIN-509126",509126,16.752309,78.003335,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.vaddepally.ac.in,info@vaddepally.ac.in,admissions@vaddepally.ac.in,placement@vaddepally.ac.in,+91-80-493-5516,Electrical & Electronics Engineering (EEE),Diploma,60,120,2014,Rural,No,Yes
1-44640762825,1-44640762825,U-0391,"GOVERNMENT PLYTECHNIC, GADWAL",Active,Telangana,Mahabubnagar,Mahabubnagar,KLI CAMP,500906,16.738503,77.982018,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B,No,,Tier 3,http://www.plytechnicgadwal.ac.in,info@plytechnicgadwal.ac.in,admissions@plytechnicgadwal.ac.in,placement@plytechnicgadwal.ac.in,+91-80-914-4659,Electronics & Communication Engineering (ECE),Diploma,60,120,2019,Urban,Yes,No
1-44640762825,1-44640762825,U-0391,"GOVERNMENT PLYTECHNIC, GADWAL",Active,Telangana,Mahabubnagar,Mahabubnagar,KLI CAMP,500906,16.738503,77.982018,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B,No,,Tier 3,http://www.plytechnicgadwal.ac.in,info@plytechnicgadwal.ac.in,admissions@plytechnicgadwal.ac.in,placement@plytechnicgadwal.ac.in,+91-80-914-4659,Computer Science Engineering (CSE),Diploma,60,120,2019,Urban,Yes,No
1-44640909246,1-44640909246,U-0062,GOVERNMENT POLYTECHNIC FOR WOMEN PEBBAIR,Active,Telangana,Mahabubnagar,Mahabubnagar,"NEAR GOVT.MODEL SCHOOL,PEBBAIR",500906,16.745763,77.969761,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 2,http://www.womenpebbair.ac.in,info@womenpebbair.ac.in,admissions@womenpebbair.ac.in,placement@womenpebbair.ac.in,+91-80-218-9701,Electrical & Electronics Engineering (EEE),Diploma,60,120,1989,Urban,No,Yes
1-44640909246,1-44640909246,U-0062,GOVERNMENT POLYTECHNIC FOR WOMEN PEBBAIR,Active,Telangana,Mahabubnagar,Mahabubnagar,"NEAR GOVT.MODEL SCHOOL,PEBBAIR",500906,16.745763,77.969761,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 2,http://www.womenpebbair.ac.in,info@womenpebbair.ac.in,admissions@womenpebbair.ac.in,placement@womenpebbair.ac.in,+91-80-218-9701,Electronics & Communication Engineering (ECE),Diploma,60,120,1989,Urban,No,Yes
1-44641503929,1-44641503929,U-0062,GOVERNMENT ENGINEERING COLLEGE KOSGI,Active,Telangana,Mahabubnagar,Mahabubnagar,"NEAR AGRICULTURE MARKET YARD, KOSGI",500906,16.72649,77.986131,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.kosgi.ac.in,info@kosgi.ac.in,admissions@kosgi.ac.in,placement@kosgi.ac.in,+91-80-410-6094,Civil Engineering,Diploma,60,360,1993,Rural,Yes,Yes
1-44641503929,1-44641503929,U-0062,GOVERNMENT ENGINEERING COLLEGE KOSGI,Active,Telangana,Mahabubnagar,Mahabubnagar,"NEAR AGRICULTURE MARKET YARD, KOSGI",500906,16.72649,77.986131,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.kosgi.ac.in,info@kosgi.ac.in,admissions@kosgi.ac.in,placement@kosgi.ac.in,+91-80-410-6094,Electrical & Electronics Engineering (EEE),Diploma,60,360,1993,Rural,Yes,Yes
1-44641503929,1-44641503929,U-0062,GOVERNMENT ENGINEERING COLLEGE KOSGI,Active,Telangana,Mahabubnagar,Mahabubnagar,"NEAR AGRICULTURE MARKET YARD, KOSGI",500906,16.72649,77.986131,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.kosgi.ac.in,info@kosgi.ac.in,admissions@kosgi.ac.in,placement@kosgi.ac.in,+91-80-410-6094,Mechanical Engineering,Diploma,60,360,1993,Rural,Yes,Yes
1-44641503929,1-44641503929,U-0062,GOVERNMENT ENGINEERING COLLEGE KOSGI,Active,Telangana,Mahabubnagar,Mahabubnagar,"NEAR AGRICULTURE MARKET YARD, KOSGI",500906,16.72649,77.986131,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.kosgi.ac.in,info@kosgi.ac.in,admissions@kosgi.ac.in,placement@kosgi.ac.in,+91-80-410-6094,Computer Science Engineering (CSE),B.Tech,60,360,1993,Rural,Yes,Yes
1-44641503929,1-44641503929,U-0062,GOVERNMENT ENGINEERING COLLEGE KOSGI,Active,Telangana,Mahabubnagar,Mahabubnagar,"NEAR AGRICULTURE MARKET YARD, KOSGI",500906,16.72649,77.986131,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.kosgi.ac.in,info@kosgi.ac.in,admissions@kosgi.ac.in,placement@kosgi.ac.in,+91-80-410-6094,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,360,1993,Rural,Yes,Yes
1-44641503929,1-44641503929,U-0062,GOVERNMENT ENGINEERING COLLEGE KOSGI,Active,Telangana,Mahabubnagar,Mahabubnagar,"NEAR AGRICULTURE MARKET YARD, KOSGI",500906,16.72649,77.986131,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.kosgi.ac.in,info@kosgi.ac.in,admissions@kosgi.ac.in,placement@kosgi.ac.in,+91-80-410-6094,Data Science,B.Tech,60,360,1993,Rural,Yes,Yes
1-44641127112,1-44641127112,U-0391,KDR GOVERNMENT POLYTECHNIC,Active,Telangana,Mahabubnagar,Mahabubnagar,"H.NO. 43-1 MAIN ROAD, NEAR RAJIV CHOWK",500906,16.754895,78.006113,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B++,Yes,,Tier 3,http://www.kdr.ac.in,info@kdr.ac.in,admissions@kdr.ac.in,placement@kdr.ac.in,+91-80-602-0206,Civil Engineering,Diploma,60,300,2021,Rural,No,Yes
1-44641127112,1-44641127112,U-0391,KDR GOVERNMENT POLYTECHNIC,Active,Telangana,Mahabubnagar,Mahabubnagar,"H.NO. 43-1 MAIN ROAD, NEAR RAJIV CHOWK",500906,16.754895,78.006113,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B++,Yes,,Tier 3,http://www.kdr.ac.in,info@kdr.ac.in,admissions@kdr.ac.in,placement@kdr.ac.in,+91-80-602-0206,Mechanical Engineering,Diploma,60,300,2021,Rural,No,Yes
1-44641127112,1-44641127112,U-0391,KDR GOVERNMENT POLYTECHNIC,Active,Telangana,Mahabubnagar,Mahabubnagar,"H.NO. 43-1 MAIN ROAD, NEAR RAJIV CHOWK",500906,16.754895,78.006113,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B++,Yes,,Tier 3,http://www.kdr.ac.in,info@kdr.ac.in,admissions@kdr.ac.in,placement@kdr.ac.in,+91-80-602-0206,Electrical & Electronics Engineering (EEE),Diploma,60,300,2021,Rural,No,Yes
1-44641127112,1-44641127112,U-0391,KDR GOVERNMENT POLYTECHNIC,Active,Telangana,Mahabubnagar,Mahabubnagar,"H.NO. 43-1 MAIN ROAD, NEAR RAJIV CHOWK",500906,16.754895,78.006113,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B++,Yes,,Tier 3,http://www.kdr.ac.in,info@kdr.ac.in,admissions@kdr.ac.in,placement@kdr.ac.in,+91-80-602-0206,Other Engineering Branches,Diploma,60,300,2021,Rural,No,Yes
1-44641127112,1-44641127112,U-0391,KDR GOVERNMENT POLYTECHNIC,Active,Telangana,Mahabubnagar,Mahabubnagar,"H.NO. 43-1 MAIN ROAD, NEAR RAJIV CHOWK",500906,16.754895,78.006113,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B++,Yes,,Tier 3,http://www.kdr.ac.in,info@kdr.ac.in,admissions@kdr.ac.in,placement@kdr.ac.in,+91-80-602-0206,Computer Science Engineering (CSE),Diploma,60,300,2021,Rural,No,Yes
1-44640852231,1-44640852231,U-0391,"GOVERNMENT POLYTECHNIC, MAHABUBNAGAR",Active,Telangana,Mahabubnagar,Mahabubnagar,HANUMANPURA,500906,16.717247,78.002786,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.mahabubnagar.ac.in,info@mahabubnagar.ac.in,admissions@mahabubnagar.ac.in,placement@mahabubnagar.ac.in,+91-80-022-9848,Automobile Engineering,Diploma,60,540,1993,Urban,Yes,Yes
