College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638627247,1-44638627247,U-0183,DR. V. R. GODHANIA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Porbandar,Porbandar,"BEHIND AMAR PLYFILLS FACTORY, OPP. NEW AIR PORT,' RAJKOT  PORBANDAR NATIONAL HIGHWAY",380238,22.265327,71.174946,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,Yes,,Tier 3,http://www.drvr.ac.in,info@drvr.ac.in,admissions@drvr.ac.in,placement@drvr.ac.in,+91-80-116-8016,Mechanical Engineering,B.Tech,30,240,1997,Urban,No,Yes
1-44638627247,1-44638627247,U-0183,DR. V. R. GODHANIA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Porbandar,Porbandar,"BEHIND AMAR PLYFILLS FACTORY, OPP. NEW AIR PORT,' RAJKOT  PORBANDAR NATIONAL HIGHWAY",380238,22.265327,71.174946,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,Yes,,Tier 3,http://www.drvr.ac.in,info@drvr.ac.in,admissions@drvr.ac.in,placement@drvr.ac.in,+91-80-116-8016,Civil Engineering,B.Tech,30,240,1997,Urban,No,Yes
1-44638627247,1-44638627247,U-0183,DR. V. R. GODHANIA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Porbandar,Porbandar,"BEHIND AMAR PLYFILLS FACTORY, OPP. NEW AIR PORT,' RAJKOT  PORBANDAR NATIONAL HIGHWAY",380238,22.265327,71.174946,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,Yes,,Tier 3,http://www.drvr.ac.in,info@drvr.ac.in,admissions@drvr.ac.in,placement@drvr.ac.in,+91-80-116-8016,Computer Science Engineering (CSE),B.Tech,30,240,1997,Urban,No,Yes
1-44638627247,1-44638627247,U-0183,DR. V. R. GODHANIA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Porbandar,Porbandar,"BEHIND AMAR PLYFILLS FACTORY, OPP. NEW AIR PORT,' RAJKOT  PORBANDAR NATIONAL HIGHWAY",380238,22.265327,71.174946,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,Yes,,Tier 3,http://www.drvr.ac.in,info@drvr.ac.in,admissions@drvr.ac.in,placement@drvr.ac.in,+91-80-116-8016,Computer Science Engineering (CSE),Diploma,90,240,1997,Urban,No,Yes
1-44638627247,1-44638627247,U-0183,DR. V. R. GODHANIA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Porbandar,Porbandar,"BEHIND AMAR PLYFILLS FACTORY, OPP. NEW AIR PORT,' RAJKOT  PORBANDAR NATIONAL HIGHWAY",380238,22.265327,71.174946,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,Yes,,Tier 3,http://www.drvr.ac.in,info@drvr.ac.in,admissions@drvr.ac.in,placement@drvr.ac.in,+91-80-116-8016,Civil Engineering,Diploma,30,240,1997,Urban,No,Yes
1-44638627247,1-44638627247,U-0183,DR. V. R. GODHANIA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Porbandar,Porbandar,"BEHIND AMAR PLYFILLS FACTORY, OPP. NEW AIR PORT,' RAJKOT  PORBANDAR NATIONAL HIGHWAY",380238,22.265327,71.174946,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,Yes,,Tier 3,http://www.drvr.ac.in,info@drvr.ac.in,admissions@drvr.ac.in,placement@drvr.ac.in,+91-80-116-8016,Mechanical Engineering,Diploma,30,240,1997,Urban,No,Yes
1-44640966135,1-44640966135,U-0183,GOVERNMENT POLYTECHNIC PORBANDAR,Active,Gujarat,Porbandar,Porbandar,NH-8B OPP. AIRPORT CHHAYA,380238,22.267094,71.181045,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,No,,Tier 3,http://www.porbandar.ac.in,info@porbandar.ac.in,admissions@porbandar.ac.in,placement@porbandar.ac.in,+91-80-190-9175,Electrical Engineering,Diploma,90,330,2006,Rural,Yes,Yes
1-44640966135,1-44640966135,U-0183,GOVERNMENT POLYTECHNIC PORBANDAR,Active,Gujarat,Porbandar,Porbandar,NH-8B OPP. AIRPORT CHHAYA,380238,22.267094,71.181045,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,No,,Tier 3,http://www.porbandar.ac.in,info@porbandar.ac.in,admissions@porbandar.ac.in,placement@porbandar.ac.in,+91-80-190-9175,Computer Science Engineering (CSE),Diploma,90,330,2006,Rural,Yes,Yes
1-44640966135,1-44640966135,U-0183,GOVERNMENT POLYTECHNIC PORBANDAR,Active,Gujarat,Porbandar,Porbandar,NH-8B OPP. AIRPORT CHHAYA,380238,22.267094,71.181045,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,No,,Tier 3,http://www.porbandar.ac.in,info@porbandar.ac.in,admissions@porbandar.ac.in,placement@porbandar.ac.in,+91-80-190-9175,Civil Engineering,Diploma,60,330,2006,Rural,Yes,Yes
1-44640966135,1-44640966135,U-0183,GOVERNMENT POLYTECHNIC PORBANDAR,Active,Gujarat,Porbandar,Porbandar,NH-8B OPP. AIRPORT CHHAYA,380238,22.267094,71.181045,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,No,,Tier 3,http://www.porbandar.ac.in,info@porbandar.ac.in,admissions@porbandar.ac.in,placement@porbandar.ac.in,+91-80-190-9175,Mechanical Engineering,Diploma,90,330,2006,Rural,Yes,Yes
