College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638433645,1-44638433645,U-0650,GOVERNMENT POLYTECHNIC COLLEGE KADATHUR,Active,Tamil Nadu,Dharmapuri,Dharmapuri,"GOVERNMENT POLYTECHNIC COLLEGE, BOSINAICKANAHALLI VILLAGE, KADATHUR POST, PAPPIREDDIPATTI TALUK, DHARMAPURI DISTRICT - 635303",635303,11.146739,78.639061,Government,"Directorate of Technical Education, Chennai",Approved,Approved,A,No,,Tier 2,http://www.kadathur.ac.in,info@kadathur.ac.in,admissions@kadathur.ac.in,placement@kadathur.ac.in,+91-80-662-5677,Civil Engineering,Diploma,60,360,1997,Urban,Yes,Yes
1-44638433645,1-44638433645,U-0650,GOVERNMENT POLYTECHNIC COLLEGE KADATHUR,Active,Tamil Nadu,Dharmapuri,Dharmapuri,"GOVERNMENT POLYTECHNIC COLLEGE, BOSINAICKANAHALLI VILLAGE, KADATHUR POST, PAPPIREDDIPATTI TALUK, DHARMAPURI DISTRICT - 635303",635303,11.146739,78.639061,Government,"Directorate of Technical Education, Chennai",Approved,Approved,A,No,,Tier 2,http://www.kadathur.ac.in,info@kadathur.ac.in,admissions@kadathur.ac.in,placement@kadathur.ac.in,+91-80-662-5677,Mechanical Engineering,Diploma,60,360,1997,Urban,Yes,Yes
1-44638433645,1-44638433645,U-0650,GOVERNMENT POLYTECHNIC COLLEGE KADATHUR,Active,Tamil Nadu,Dharmapuri,Dharmapuri,"GOVERNMENT POLYTECHNIC COLLEGE, BOSINAICKANAHALLI VILLAGE, KADATHUR POST, PAPPIREDDIPATTI TALUK, DHARMAPURI DISTRICT - 635303",635303,11.146739,78.639061,Government,"Directorate of Technical Education, Chennai",Approved,Approved,A,No,,Tier 2,http://www.kadathur.ac.in,info@kadathur.ac.in,admissions@kadathur.ac.in,placement@kadathur.ac.in,+91-80-662-5677,Electronics & Communication Engineering (ECE),Diploma,60,360,1997,Urban,Yes,Yes
1-44638433645,1-44638433645,U-0650,GOVERNMENT POLYTECHNIC COLLEGE KADATHUR,Active,Tamil Nadu,Dharmapuri,Dharmapuri,"GOVERNMENT POLYTECHNIC COLLEGE, BOSINAICKANAHALLI VILLAGE, KADATHUR POST, PAPPIREDDIPATTI TALUK, DHARMAPURI DISTRICT - 635303",635303,11.146739,78.639061,Government,"Directorate of Technical Education, Chennai",Approved,Approved,A,No,,Tier 2,http://www.kadathur.ac.in,info@kadathur.ac.in,admissions@kadathur.ac.in,placement@kadathur.ac.in,+91-80-662-5677,Computer Science Engineering (CSE),Diploma,60,360,1997,Urban,Yes,Yes
1-44638433645,1-44638433645,U-0650,GOVERNMENT POLYTECHNIC COLLEGE KADATHUR,Active,Tamil Nadu,Dharmapuri,Dharmapuri,"GOVERNMENT POLYTECHNIC COLLEGE, BOSINAICKANAHALLI VILLAGE, KADATHUR POST, PAPPIREDDIPATTI TALUK, DHARMAPURI DISTRICT - 635303",635303,11.146739,78.639061,Government,"Directorate of Technical Education, Chennai",Approved,Approved,A,No,,Tier 2,http://www.kadathur.ac.in,info@kadathur.ac.in,admissions@kadathur.ac.in,placement@kadathur.ac.in,+91-80-662-5677,Electrical & Electronics Engineering (EEE),Diploma,60,360,1997,Urban,Yes,Yes
1-44638433645,1-44638433645,U-0650,GOVERNMENT POLYTECHNIC COLLEGE KADATHUR,Active,Tamil Nadu,Dharmapuri,Dharmapuri,"GOVERNMENT POLYTECHNIC COLLEGE, BOSINAICKANAHALLI VILLAGE, KADATHUR POST, PAPPIREDDIPATTI TALUK, DHARMAPURI DISTRICT - 635303",635303,11.146739,78.639061,Government,"Directorate of Technical Education, Chennai",Approved,Approved,A,No,,Tier 2,http://www.kadathur.ac.in,info@kadathur.ac.in,admissions@kadathur.ac.in,placement@kadathur.ac.in,+91-80-662-5677,Information Technology (IT),Diploma,60,360,1997,Urban,Yes,Yes
1-44638927302,1-44638927302,U-0682,SHREENIVASA ENGINEERING COLLEGE,Active,Tamil Nadu,Dharmapuri,Dharmapuri,"B.PALLIPATTI, BOMMIDI, PAPPIREDDIPATTI TALUK, DHARMAPURI DISTRICT TAMILNADU.",600734,11.137823,78.657618,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.shreenivasa.ac.in,info@shreenivasa.ac.in,admissions@shreenivasa.ac.in,placement@shreenivasa.ac.in,+91-80-288-5892,Computer Science Engineering (CSE),B.Tech,90,456,1986,Rural,Yes,Yes
1-44638927302,1-44638927302,U-0682,SHREENIVASA ENGINEERING COLLEGE,Active,Tamil Nadu,Dharmapuri,Dharmapuri,"B.PALLIPATTI, BOMMIDI, PAPPIREDDIPATTI TALUK, DHARMAPURI DISTRICT TAMILNADU.",600734,11.137823,78.657618,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.shreenivasa.ac.in,info@shreenivasa.ac.in,admissions@shreenivasa.ac.in,placement@shreenivasa.ac.in,+91-80-288-5892,Electrical & Electronics Engineering (EEE),B.Tech,30,456,1986,Rural,Yes,Yes
1-44638927302,1-44638927302,U-0682,SHREENIVASA ENGINEERING COLLEGE,Active,Tamil Nadu,Dharmapuri,Dharmapuri,"B.PALLIPATTI, BOMMIDI, PAPPIREDDIPATTI TALUK, DHARMAPURI DISTRICT TAMILNADU.",600734,11.137823,78.657618,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.shreenivasa.ac.in,info@shreenivasa.ac.in,admissions@shreenivasa.ac.in,placement@shreenivasa.ac.in,+91-80-288-5892,Mechanical Engineering,B.Tech,30,456,1986,Rural,Yes,Yes
1-44638927302,1-44638927302,U-0682,SHREENIVASA ENGINEERING COLLEGE,Active,Tamil Nadu,Dharmapuri,Dharmapuri,"B.PALLIPATTI, BOMMIDI, PAPPIREDDIPATTI TALUK, DHARMAPURI DISTRICT TAMILNADU.",600734,11.137823,78.657618,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.shreenivasa.ac.in,info@shreenivasa.ac.in,admissions@shreenivasa.ac.in,placement@shreenivasa.ac.in,+91-80-288-5892,Computer Science Engineering (CSE),M.Tech,18,456,1986,Rural,Yes,Yes
1-44638927302,1-44638927302,U-0682,SHREENIVASA ENGINEERING COLLEGE,Active,Tamil Nadu,Dharmapuri,Dharmapuri,"B.PALLIPATTI, BOMMIDI, PAPPIREDDIPATTI TALUK, DHARMAPURI DISTRICT TAMILNADU.",600734,11.137823,78.657618,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.shreenivasa.ac.in,info@shreenivasa.ac.in,admissions@shreenivasa.ac.in,placement@shreenivasa.ac.in,+91-80-288-5892,Other Engineering Branches,M.Tech,18,456,1986,Rural,Yes,Yes
